informal_text_inp,normal_text_inp,normal_text_out
<Give maine the hotel phone number.>,<Give me the hotel telephone number.,Give me the hotel telephone number.>
"<I am have dinner with my family. We meet to chit chat. Meet at Orchard okey? Once you are free, hardly come belt down. I meet Jos first.>","<I am having dinner with my family. We meet to chit chat. Meet at Orchard OK? Once you are free, just come down. I meet Jos first.","I am having dinner with my family. We meet to chit chat. Meet at Orchard OK? Once you are free, just come down. I meet Jos first.>"
<Not coolheaded. Haha. I assume ' t get it on. I imagine helium stays invisible most of the time. Is your friend going to NTU? Girl? He told pine tree state before that a lot of girls dropped out.>,<Not cool. Haha. I don't know. I think he stays invisible most of the time. Is your friend going to NTU? Girl? He told me before that a lot of girls dropped out.,Not cool. Haha. I don't know. I think he stays invisible most of the time. Is your friend going to NTU? Girl? He told me before that a lot of girls dropped out.>
"<I consume asked already. Daffo can, Leona can ' t, Xf and Ben non confirmed. Then wherefore is the dinner party non confirmed still? By the way Shuhui saw Nemo already.>","<I have asked already. Ron can, Leona can't, Xf and Ben not confirmed. Then why is the dinner not confirmed yet? By the way Shuhui saw Nemo already.","I have asked already. Ron can, Leona can't, Xf and Ben not confirmed. Then why is the dinner not confirmed yet? By the way Shuhui saw Nemo already.>"
"<Huh? How come, as well tax?>","<Huh? How come, too taxing?","Huh? How come, too taxing?>"
"<Haha, okay. Understand already. Overprotective like that. May Ane ask you? Do you think One should cut outskirt short?>","<Haha, okay. Understand already. Overprotective like that. May I ask you? Do you think I should cut fringe short?","Haha, okay. Understand already. Overprotective like that. May I ask you? Do you think I should cut fringe short?>"
<I am still very deplorable my dear friend.>,<I am still very sad my dear friend.,I am still very sad my dear friend.>
"<Hi, may Ane know your handphone issue?>","<Hi, may I know your handphone number?","Hi, may I know your handphone number?>"
<Hi Kote and Maxy! Please give me your introduction and telephony issue. My number is 0166305681.>,<Hi Kote and Maxy! Please give me your introduction and telephone number. My number is 0166305681.,Hi Kote and Maxy! Please give me your introduction and telephone number. My number is 0166305681.>
"<Hey, girls, Monday 4th Augest, 8: forty five at LT32, formal wearable. That ' s the plan for the first daytime of school day. Score the organization to plump ok?>","<Hey, girls, Monday 4th Augest, 8:45 at LT32, formal wear. That's the plan for the first day of school. Make the arrangement to go ok?","Hey, girls, Monday 4th Augest, 8:45 at LT32, formal wear. That's the plan for the first day of school. Make the arrangement to go ok?>"
"<Freshman Predilection Week. It starts this Friday, if you really truly want to join, you throne come down to schoolhouse. There testament be hoi polloi around, just ask.>","<Freshman Orientation Week. It starts this Friday, if you really really want to join, you can come down to school. There will be people around, just ask.","Freshman Orientation Week. It starts this Friday, if you really really want to join, you can come down to school. There will be people around, just ask.>"
<Ar you going to post a mail? Tomorrow I keister ' t.>,<Are you going to send a mail? Tomorrow I can't.,Are you going to send a mail? Tomorrow I can't.>
"<One reckon you can, just get the speech from your quaker first off. Haha, I did a lot of shopping. Felt quite bad, because Aust frequent a mountain already.>","<I think you can, just get the address from your friends first. Haha, I did a lot of shopping. Felt quite bad, because Aust shop a lot already.","I think you can, just get the address from your friends first. Haha, I did a lot of shopping. Felt quite bad, because Aust shop a lot already.>"
<Oklahoma.>,<Ok.,Ok.>
<Howdy Dom and Fon. Care to introduce?>,<Hi Dom and Fon. Care to introduce?,Hi Dom and Fon. Care to introduce?>
<Okie. Where? Meet tpy where?>,<Okie. Where? Meet tpy where?,Okie. Where? Meet tpy where?>
<Hey I think I won ' t piss it at 6 needlelike.>,<Hey I think I won't make it at 6 sharp.,Hey I think I won't make it at 6 sharp.>
<You can yield me your>,<You can give me your,You can give me your>
"<Hey, do you beware going for my hall bash with Deckie? He ' s see for fellowship too.>","<Hey, do you mind going for my hall bash with Deckie? He's looking for company too.","Hey, do you mind going for my hall bash with Deckie? He's looking for company too.>"
"<I don ' t know who ' s going but One ' k not work, I flummox something on.>","<I don't know who's going but I'm not going, I got something on.","I don't know who's going but I'm not going, I got something on.>"
"<Yeah. Go gym also can. But you don ' t need to go, indeed ne'er head.>","<Yeah. Go gym also can. But you don't want to go, so never mind.","Yeah. Go gym also can. But you don't want to go, so never mind.>"
<Both JC and university. I ' m in Kilo today. Same as Ter. And the officers that came in before me are damn adhere up. Please don ' t secern Ter. So I ' molar concentration finding out if you feel the like.>,<Both JC and university. I'm in Kilo now. Same as Ter. And the officers that came in before me are damn stuck up. Please don't tell Ter. So I'm finding out if you feel the same.,Both JC and university. I'm in Kilo now. Same as Ter. And the officers that came in before me are damn stuck up. Please don't tell Ter. So I'm finding out if you feel the same.>
"<Yes, what time will you equal reach?>","<Yes, what time will you be reaching?","Yes, what time will you be reaching?>"
"<You haven ' liothyronine lose me, I ' ll always follow here for you. I didn ' t intend to spite you, but I ne'er knew how you felt about me when Iodine was at marine and that ' s what I tried to assure your mom. I care about you.>","<You haven't lost me, I'll always be here for you. I didn't intend to hurt you, but I never knew how you felt about me when I was at marine and that's what I tried to tell your mom. I care about you.","You haven't lost me, I'll always be here for you. I didn't intend to hurt you, but I never knew how you felt about me when I was at marine and that's what I tried to tell your mom. I care about you.>"
<Call you a bit later.>,<Call you a bit later.,Call you a bit later.>
<I think information technology ' south in the afternoon.>,<I think it's in the afternoon.,I think it's in the afternoon.>
<When will your exams start?>,<When will your exams start?,When will your exams start?>
<Huh. Don ' liothyronine have. Never open oregon what.>,<Huh. Don't have. Never open or what.,Huh. Don't have. Never open or what.>
"<BOEZ, wherefore no reply from you? Can you SMS me at 96821456?>","<BOEZ, why no reply from you? Can you SMS me at 96821456?","BOEZ, why no reply from you? Can you SMS me at 96821456?>"
<Double detent and will be do. Can you catch other modules ' mental testing paper?>,<Double click and will be done. Can you view other modules' test paper?,Double click and will be done. Can you view other modules' test paper?>
<Are you free now?>,<Are you free now?,Are you free now?>
"<Yes, I thought of information technology also only affright me when Iodin am lazy or I cannot wake up early.>","<Yes, I thought of it also but scare me when I am lazy or I cannot wake up early.","Yes, I thought of it also but scare me when I am lazy or I cannot wake up early.>"
<Then how ' s the dictation like? The culture one I haven ' t put any full stop.>,<Then how's the bidding like? The cultures one I haven't put any points.,Then how's the bidding like? The cultures one I haven't put any points.>
<You got study programming.>,<You got study programming.,You got study programming.>
<Then I wait for you at home. Haste up and hold up rest home.>,<Then I wait for you at home. Hurry up and go home.,Then I wait for you at home. Hurry up and go home.>
"<We grease one's palms a imbiber. Then we wanted to make some succus but the both of us are excessively lazy, that is wherefore we asked you to fare rearwards and make juice for us instead.>","<We bought a juicer. Then we wanted to make some juice but the both of us are too lazy, that is why we asked you to come back and make juice for us instead.","We bought a juicer. Then we wanted to make some juice but the both of us are too lazy, that is why we asked you to come back and make juice for us instead.>"
"<Hello, Honey oil. reen! How are you? Nice to know you. Embody you the K. reen I cognize, who is 23f from North borneo?>","<Hello, K.reen! How are you? Nice to know you. Are you the K.reen I know, who is 23f from Sabah?","Hello, K.reen! How are you? Nice to know you. Are you the K.reen I know, who is 23f from Sabah?>"
<Atomic number 2 ' mho extend through tutorial today? Is today the last lecture?>,<He's going through tutorial today? Is today the last lecture?,He's going through tutorial today? Is today the last lecture?>
<Yes. Tomorrow meet at dozen at Bishan MRT.>,<Yes. Tomorrow meet at 12 at Bishan MRT.,Yes. Tomorrow meet at 12 at Bishan MRT.>
"<Hmm, I don ' t think then. Because my roommate locked me our and went home and all my stuffs are in the way. Only if my hand speech sound is with pine tree state. Then she ' ll be back hall tomorrow. By the way, during Chinese New Year are you in Singapore island? Beaver state flying?>","<Hmm, I don't think so. Because my roommate locked me our and went home and all my stuffs are in the room. Only my hand phone is with me. Then she'll be back hall tomorrow. By the way, during Chinese New Year are you in Singapore? Or flying?","Hmm, I don't think so. Because my roommate locked me our and went home and all my stuffs are in the room. Only my hand phone is with me. Then she'll be back hall tomorrow. By the way, during Chinese New Year are you in Singapore? Or flying?>"
"<Wherefore? You have chance. Fine, I don ' t judgement but Atomic number 53 have lesson until 4 tomorrow.>","<Why? You have chance. Ok, I don't mind but I have lesson until 4 tomorrow.","Why? You have chance. Ok, I don't mind but I have lesson until 4 tomorrow.>"
"<Shari, are you able to converge me tomorrow to devote me back the 25 bucks? I am quite a broke. Hehe. Sorry.>","<Sharis, are you able to meet me tomorrow to pay me back the 25 bucks? I am quite broke. Hehe. Sorry.","Sharis, are you able to meet me tomorrow to pay me back the 25 bucks? I am quite broke. Hehe. Sorry.>"
"<Sigh, I learn a pair of jeans. I don ' t know I should buy oregon non. Too spoiled the sales agreement be only when today.>","<Sigh, I saw a pair of jeans. I don't know I should buy or not. Too bad the sale is only today.","Sigh, I saw a pair of jeans. I don't know I should buy or not. Too bad the sale is only today.>"
<Yes sir! One will take attention of myself. I follow having lunch nowadays. You reachd home already? Take lunch yet?>,<Yes sir! I will take care of myself. I am having lunch now. You reachd home already? Take lunch yet?,Yes sir! I will take care of myself. I am having lunch now. You reachd home already? Take lunch yet?>
"<Haha. okay, I ' m try to control my diet straightaway. Take care too, drop back you extinct to talk today, fun right on? I also want to slumber. Night.>","<Haha. OK, I'm trying to control my diet now. Take care too, drag you out to talk today, fun right? I also want to sleep. Night.","Haha. OK, I'm trying to control my diet now. Take care too, drag you out to talk today, fun right? I also want to sleep. Night.>"
<Grazing land I ' m going to hump presently too. Haha. I cannot master of science to your mitt phone. Funny. You got my hand phone telephone number?>,<Lea I'm going to bed soon too. Haha. I cannot SMS to your hand phone. Funny. You got my hand phone number?,Lea I'm going to bed soon too. Haha. I cannot SMS to your hand phone. Funny. You got my hand phone number?>
<I don ' t think so. Just play money and yourself.>,<I don't think so. Just bring money and yourself.,I don't think so. Just bring money and yourself.>
"<Hi Jon, Pete hither. I experience equal to Espana recently and have some Dinero left. Bill said you operating theater your parents maybe concerned in it. I have 12, 000pes, so around £ 48, tb, James.>","<Hi Jon, Pete here. I have been to Spain recently and have some Dinero left. Bill said you or your parents maybe interested in it. I have 12,000pes, so around £48, tb, James.","Hi Jon, Pete here. I have been to Spain recently and have some Dinero left. Bill said you or your parents maybe interested in it. I have 12,000pes, so around £48, tb, James.>"
"<Do you still want maine to register the gown for you? But I will want your computer address, IC and matric number. And likewise the tierce measurement.>","<Do you still want me to register the gown for you? But I will need your address, IC and matriculation number. And also the 3 measurement.","Do you still want me to register the gown for you? But I will need your address, IC and matriculation number. And also the 3 measurement.>"
<Okeh.>,<Ok.,Ok.>
<Hey. Indeed your friend ' s brother is already in computing device engineering course? Because Iodin want to find out more about information technology tail help pine tree state expect? Thanks.>,<Hey. So your friend's brother is already in computer engineering course? Because I want to find out more about it can help me ask? Thanks.,Hey. So your friend's brother is already in computer engineering course? Because I want to find out more about it can help me ask? Thanks.>
<Are you go to Funan to buy?>,<Are you going to Funan to buy?,Are you going to Funan to buy?>
"<Hey, Ane ' ll be a little previous.>","<Hey, I'll be a little late.","Hey, I'll be a little late.>"
"<People, world health organization coiffe you guess I am talking about? Haha. Bailiwick.>","<People, who do you think I am talking about? Haha. Study.","People, who do you think I am talking about? Haha. Study.>"
<Scarce choke in rightfield? Ar you OK with maine get the phone number? Because I made sure he asked you first. You seem preoccupied. Studying? Which faculty are you in?>,<Just went in right? Are you OK with me getting the number? Because I made sure he asked you first. You seem preoccupied. Studying? Which faculty are you in?,Just went in right? Are you OK with me getting the number? Because I made sure he asked you first. You seem preoccupied. Studying? Which faculty are you in?>
<One cannot remember what time be my moral. 1 will confirm with you again when Iodine go home ok?>,<I cannot remember what time is my lesson. I will confirm with you again when I go home ok?,I cannot remember what time is my lesson. I will confirm with you again when I go home ok?>
<May 1 taking the laptop computer with me or you leave it with you?>,<May I taking the laptop with me or you leave it with you?,May I taking the laptop with me or you leave it with you?>
<I ' m sure you do ticket. I ' chiliad at AMK now. Half day off.>,<I'm sure you did fine. I'm at AMK now. Half day off.,I'm sure you did fine. I'm at AMK now. Half day off.>
<I stick at Jurong West. I am too solely.>,<I stay at Jurong West. I am also alone.,I stay at Jurong West. I am also alone.>
"<Yes. I utilize the wrong invoice then I know only when I come to schooltime. Oasis ' t, I ' mb install the wireless case driver now.>","<Yes. I apply the wrong account then I know only when I came to school. Haven't, I'm installing the wireless case driver now.","Yes. I apply the wrong account then I know only when I came to school. Haven't, I'm installing the wireless case driver now.>"
<' Yo yo what is upward '. Okay I shall non further disturb you.>,<'Yo yo what is up'. Okay I shall not further disturb you.,'Yo yo what is up'. Okay I shall not further disturb you.>
<Can to intro yourself?>,<Can to intro yourself?,Can to intro yourself?>
<Today mango got ten% bank discount.>,<Today mango got 10% discount.,Today mango got 10% discount.>
<I ' m the like. School price. Okay I ' m break to her elbow room now. After you cease you message us.>,<I'm the same. School price. Okay I'm going to her room now. After you finish you message us.,I'm the same. School price. Okay I'm going to her room now. After you finish you message us.>
<Ar you girls going to get lunch before going?>,<Are you girls going to have lunch before going?,Are you girls going to have lunch before going?>
<Ya. Next week get along.>,<Ya. Next week coming.,Ya. Next week coming.>
<Hey girl. How be you? Hope you are good. I and DEL make up backward! Again farsighted time no see! Consecrate pine tree state a call some time. From Lucy.>,<Hey girl. How are you? Hope you are well. I and DEL are back! Again long time no see! Give me a call some time. From Lucy.,Hey girl. How are you? Hope you are well. I and DEL are back! Again long time no see! Give me a call some time. From Lucy.>
<Hey girls. So what time? Xin: 1 fill you straight after work? Time and stead?>,<Hey girls. So what time? Xin: I meet you straight after work? Time and place?,Hey girls. So what time? Xin: I meet you straight after work? Time and place?>
<Look out what?>,<Watch what?,Watch what?>
"<If you are in township, 1 take taxi myself.>","<If you are in town, I take taxi myself.","If you are in town, I take taxi myself.>"
<Non nonetheless. I take taxi home.>,<Not yet. I take taxi home.,Not yet. I take taxi home.>
<You have to bathe Millian when you come home. He got shit on his fur.>,<You have to bathe Millian when you come home. He got shit on his fur.,You have to bathe Millian when you come home. He got shit on his fur.>
"<Hey, or you want to become for key pilates operating room fundamental yoga?>","<Hey, or you want to go for fundamental pilates or fundamental yoga?","Hey, or you want to go for fundamental pilates or fundamental yoga?>"
<I just fuck off accepted into nus arts! Really real very thank God for the miracle!>,<I just got accepted into nus arts! Really really really thank God for the miracle!,I just got accepted into nus arts! Really really really thank God for the miracle!>
<No. No demand Single think.>,<No. No need I think.,No. No need I think.>
<I remember I put on ' t want the glasses. Seldom practice it at any rate. Save some money. Hee.>,<I think I don't want the glasses. Seldom use it anyway. Save some money. Hee.,I think I don't want the glasses. Seldom use it anyway. Save some money. Hee.>
<Formerly I pick up it ' ll exactly curve off. SBS surgery something? Are you a member of something?>,<Once I pick up it'll just cut off. SBS or something? Are you a member of something?,Once I pick up it'll just cut off. SBS or something? Are you a member of something?>
"<Consume nada is beautiful if anything is not good, non ok! Just desire one day atomic number 2 knows I be not crazy. That is all! How a mass read me also nevermind.>","<Have nothing is beautiful if anything is not good, not okay! Just hope one day he knows I am not crazy. That is all! How a people say me also nevermind.","Have nothing is beautiful if anything is not good, not okay! Just hope one day he knows I am not crazy. That is all! How a people say me also nevermind.>"
<Haha. Information technology ' s tire maine to death.>,<Haha. It's boring me to death.,Haha. It's boring me to death.>
<Yes. But Ace recall I bequeath be late.>,<Yes. But I think I will be late.,Yes. But I think I will be late.>
"<Ok, then you blindfold me when Iodin ' m privileged your house. Then what comprise you doing at once? Watch over goggle box?>","<Ok, then you blindfold me when I'm inside your house. Then what are you doing now? Watching TV?","Ok, then you blindfold me when I'm inside your house. Then what are you doing now? Watching TV?>"
"<Aloha state love, don ' t forget to run home for the repair man.>","<Hi dear, don't forget to go home for the repair man.","Hi dear, don't forget to go home for the repair man.>"
<fine wishing you slap up good luck. Hope you receive good results.>,<OK wishing you great good luck. Hope you get good results.,OK wishing you great good luck. Hope you get good results.>
"<Hi Petey! No Ace ' m ok, just wanted to chew the fat because seaport ' t spoken to you for a long time. Bob hope you be doing alright. Have serious dark at JS, love you.>","<Hi Petey! No I'm ok, just wanted to chat because haven't spoken to you for a long time. Hope you are doing alright. Have good night at JS, love you.","Hi Petey! No I'm ok, just wanted to chat because haven't spoken to you for a long time. Hope you are doing alright. Have good night at JS, love you.>"
"<Yesterday we taste until so long. Today I go to school, they besides tush ' t login. Waste our time yesterday.>","<Yesterday we try until so long. Today I go to school, they also can't login. Waste our time yesterday.","Yesterday we try until so long. Today I go to school, they also can't login. Waste our time yesterday.>"
<Okay. They aren ' t open on public holiday.>,<Okay. They aren't open on public holidays.,Okay. They aren't open on public holidays.>
"<Hi darling, information technology ' s Kate. Are you up for doing something tonight? I ' thousand going to a gin mill called The Swan or something with my parents for unmatchable drink. So phone me if you fanny.>","<Hi darling, it's Kate. Are you up for doing something tonight? I'm going to a pub called The Swan or something with my parents for one drink. So phone me if you can.","Hi darling, it's Kate. Are you up for doing something tonight? I'm going to a pub called The Swan or something with my parents for one drink. So phone me if you can.>"
"<Hi, everyone.>","<Hi, everyone.","Hi, everyone.>"
"<Happy eighteenth Natal day, decriminalise for heap of stuff. Then any you do, get to think twice ok? Crataegus laevigata you be happy always and God Bless.>","<Happy 18th Birthday, legalized for lots of stuff. So whatever you do, got to think twice ok? May you be happy always and God Bless.","Happy 18th Birthday, legalized for lots of stuff. So whatever you do, got to think twice ok? May you be happy always and God Bless.>"
"<Hi, Roy! Pot you ease up me your telephone set number? Call pine tree state 0166305681, Ok?>","<Hi, Roy! Can you give me your telephone number? Call me 0166305681, Ok?","Hi, Roy! Can you give me your telephone number? Call me 0166305681, Ok?>"
"<Hi, Elaine. I ' m Chinese, xxii. May Atomic number 53 know where you stick?>","<Hi, Elaine. I'm Chinese, 22. May I know where you stay?","Hi, Elaine. I'm Chinese, 22. May I know where you stay?>"
"<Ok, I come bring in you now.>","<Ok, I come fetch you now.","Ok, I come fetch you now.>"
<Yes! Yay! World health organization are you going with? Call in your other friend?>,<Yes! Yay! Who are you going with? Call your other friends?,Yes! Yay! Who are you going with? Call your other friends?>
<Roy introduce please.>,<Roy introduce please.,Roy introduce please.>
"<Localization, age and gender please.>","<Location, age and gender please.","Location, age and gender please.>"
"<Ok. So I ' ll meet you after that sentence and then. Haha. iv in town, okay?>","<Okay. So I'll meet you after that time then. Haha. 4 in town, okay?","Okay. So I'll meet you after that time then. Haha. 4 in town, okay?>"
<No. Lecture sound flat all the way.>,<No. Lecture goes straight all the way.,No. Lecture goes straight all the way.>
<Where are you? I am with my ex netball police chief. Where make up you?>,<Where are you? I am with my ex netball captain. Where are you?,Where are you? I am with my ex netball captain. Where are you?>
<Ok. One make nothing to do. I ' g clearing leave.>,<Ok. I have nothing to do. I'm clearing leave.,Ok. I have nothing to do. I'm clearing leave.>
"<No, my sister ' s friends are go. How did you know that on that point ' s a cut rate sale? Ar you die? How do I send? Do Single place to your e mail?>","<No, my sister's friends are going. How did you know that there's a sale? Are you going? How do I send? Do I send to your email?","No, my sister's friends are going. How did you know that there's a sale? Are you going? How do I send? Do I send to your email?>"
<We meet outside the talking to field of operations subsequently okay? Then we go to the museum together.>,<We meet outside the lecture theatre later okay? Then we go to the museum together.,We meet outside the lecture theatre later okay? Then we go to the museum together.>
<You follow going home soon?>,<You are going home soon?,You are going home soon?>
<Hey girlfriend. You all free to occur to my house warming on twenty fourth October at 6pm? Address is Punggol Exchange Blk 295 # 12 - 517.>,<Hey girls. You all free to come to my house warming on 24th October at 6pm? Address is Punggol Central Blk 295 #12-517.,Hey girls. You all free to come to my house warming on 24th October at 6pm? Address is Punggol Central Blk 295 #12-517.>
<Nokia 7250 without trade in is $ 719.>,<Nokia 7250 without trade in is $719.,Nokia 7250 without trade in is $719.>
<Not enough mention to phone. Shall Ane leave university at 6 and get a bus topology to your house?>,<Not enough credit to call. Shall I leave university at 6 and get a bus to your house?,Not enough credit to call. Shall I leave university at 6 and get a bus to your house?>
"<Joey: Rin, guardianship to stick in?>","<Joey: Rin, care to introduce?","Joey: Rin, care to introduce?>"
"<Hey, do you require to go swim tomorrow evening?>","<Hey, do you want to go swimming tomorrow evening?","Hey, do you want to go swimming tomorrow evening?>"
<Nesh throne you intro yourself?>,<Nesh can you intro yourself?,Nesh can you intro yourself?>
<Is it where they sell nice macaroni and cheese and courteous biscuits? Junior College class outing? Is information technology Jan at that place?>,<Is it where they sell nice macaroni and cheese and nice biscuits? Junior College class outing? Is it January there?,Is it where they sell nice macaroni and cheese and nice biscuits? Junior College class outing? Is it January there?>
<Iodin let yet to ask her. Send her message now. See you!>,<I have yet to ask her. Send her message now. See you!,I have yet to ask her. Send her message now. See you!>
"<Ken, my handphone number is 0165460953.>","<Ken, my handphone number is 0165460953.","Ken, my handphone number is 0165460953.>"
"<Huh, why? So you signify that ' s what she allege? What come you say?>","<Huh, why? So you mean that's what she said? What did you say?","Huh, why? So you mean that's what she said? What did you say?>"
"<Wow! That ' sulfur later than me! Fine, define, Th even then! Good luck, beloved!>","<Wow! That's later than me! Ok, set, Thursday evening then! Good luck, dear!","Wow! That's later than me! Ok, set, Thursday evening then! Good luck, dear!>"
<Haha. Yeah. I can drive the states domicile from NUS. Haha.>,<Haha. Yeah. I can drive us home from NUS. Haha.,Haha. Yeah. I can drive us home from NUS. Haha.>
<I ask if I can stay away after 12. Cannot.>,<I asked if I can stay out after 12. Cannot.,I asked if I can stay out after 12. Cannot.>
<I ' m fine. Yesterday you got receive any odorous young lady in this confabulation room?>,<I'm fine. Yesterday you got found any sweet girl in this chat room?,I'm fine. Yesterday you got found any sweet girl in this chat room?>
<Yup. One love my trip. Upwind is great too. Atomic number 53 john ' t take the heat here nowadays.>,<Yup. I love my trip. Weather is great too. I can't take the heat here now.,Yup. I love my trip. Weather is great too. I can't take the heat here now.>
"<Oh yes, doing the accounting tutorial now. Single think Bukit Panjang be going to rain down soon. What time have you decided to go come out?>","<Oh yes, doing the accounting tutorial now. I think Bukit Panjang is going to rain soon. What time have you decided to go out?","Oh yes, doing the accounting tutorial now. I think Bukit Panjang is going to rain soon. What time have you decided to go out?>"
"<Oh. Ok, thought you want to claim note of your student because of severe acute respiratory syndrome.>","<Oh. Ok, thought you want to take note of your student because of SARS.","Oh. Ok, thought you want to take note of your student because of SARS.>"
<Oh okay. Ya sent you a Chinese New Year verse form. You too enjoy your Taiwanese new yr.>,<Oh okay. Ya sent you a Chinese New Year poem. You too enjoy your Chinese new year.,Oh okay. Ya sent you a Chinese New Year poem. You too enjoy your Chinese new year.>
"<Funny, Atomic number 53 coiffure send. I wanted to ask you if I just go there spare, will they laugh because they wait there for so foresightful and 1 but cut a snatch. Can you ask the date first then I see how?>","<Funny, I did send. I wanted to ask you if I just go there trim, will they laugh because they wait there for so long and I only cut a bit. Can you ask the date first then I see how?","Funny, I did send. I wanted to ask you if I just go there trim, will they laugh because they wait there for so long and I only cut a bit. Can you ask the date first then I see how?>"
<Hey girl. Did your sister restrain her past LSM1301 test paper? Ass I take over to photocopy it? Reb here.>,<Hey girl. Did your sister keep her past LSM1301 exam paper? Can I borrow to photocopy it? Reb here.,Hey girl. Did your sister keep her past LSM1301 exam paper? Can I borrow to photocopy it? Reb here.>
<Oh. I assume ' triiodothyronine know. Where are we meeting?>,<Oh. I don't know. Where are we meeting?,Oh. I don't know. Where are we meeting?>
"<Haha. If no need to make improving and near my workplace and does not work too late. Can debate. That be if you stool find such a place. AY, astir a month ago, she say she worked there.>","<Haha. If no need to make up and near my workplace and does not work too late. Can consider. That is if you can find such a place. AY, about a month ago, she said she worked there.","Haha. If no need to make up and near my workplace and does not work too late. Can consider. That is if you can find such a place. AY, about a month ago, she said she worked there.>"
"<Hey, you call me? What ' s upwardly?>","<Hey, you called me? What's up?","Hey, you called me? What's up?>"
"<Actually Iodin had wanted to grease one's palms this amobarbital sodium discolour one for you, only you have the blue one already. Haha, so I didn ' t steal.>","<Actually I had wanted to buy this blue coloured one for you, but you have the blue one already. Haha, so I didn't buy.","Actually I had wanted to buy this blue coloured one for you, but you have the blue one already. Haha, so I didn't buy.>"
<Laugh out flashy. So I should non disturb you from your work. Study punishing.>,<Laugh out loud. So I should not disturb you from your work. Study hard.,Laugh out loud. So I should not disturb you from your work. Study hard.>
"<Where got to blame you alike that? Masses crapper go home early on, you withal set out wait for parents. Then better do not sleep late, go for wellness.>","<Where got to blame you like that? People can go home early, you still got wait for parents. Then better do not sleep late, go for health.","Where got to blame you like that? People can go home early, you still got wait for parents. Then better do not sleep late, go for health.>"
<Grasp Singapore at 2: 45pm.>,<Reach Singapore at 2:45pm.,Reach Singapore at 2:45pm.>
"<Hi Vivian, commode you acquaint yourself?>","<Hi Vivian, can you introduce yourself?","Hi Vivian, can you introduce yourself?>"
"<Rollin, can claver with you a non?>","<Rollin, can chat with you a not?","Rollin, can chat with you a not?>"
<I ' m Pasture from Singapore. Working now. You? Form beaver state study?>,<I'm Lea from Singapore. Working now. You? Working or studying?,I'm Lea from Singapore. Working now. You? Working or studying?>
<1 am break down home to do. Tomorrow One have a presentation and a project to hand improving. Fortuitously they are going to finish.>,<I am going home to do. Tomorrow I have a presentation and a project to hand up. Luckily they are going to finish.,I am going home to do. Tomorrow I have a presentation and a project to hand up. Luckily they are going to finish.>
<I called her this morning. She ' s non in that location. Weiyun also haven ' t collect yet.>,<I called her this morning. She's not there. Weiyun also haven't collect yet.,I called her this morning. She's not there. Weiyun also haven't collect yet.>
<Hmm. I ' m see with my friends already. Information technology ' s embarrassing.>,<Hmm. I'm watching with my friends already. It's embarrassing.,Hmm. I'm watching with my friends already. It's embarrassing.>
"<Mimi, what are you doing at once?>","<Mimi, what are you doing now?","Mimi, what are you doing now?>"
<Make that 3! For Deity ' s sake!>,<Make that 3! For God's sake!,Make that 3! For God's sake!>
<Atomic number 53 have sex. Some award show right? Haha. Only One like her more. Laugh out loud.>,<I know. Some award show right? Haha. But I like her more. Laugh out loud.,I know. Some award show right? Haha. But I like her more. Laugh out loud.>
<I don ' t understand her also. And then Atomic number 53 pronounce don ' t meet. No decimal point also. Other daylight and so.>,<I don't understand her also. Then I said don't meet. No point also. Other days then.,I don't understand her also. Then I said don't meet. No point also. Other days then.>
<Haha. I almost bury. Wah. Did it take you so long to respond my message?>,<Haha. I almost forgot. Wah. Did it take you so long to reply my message?,Haha. I almost forgot. Wah. Did it take you so long to reply my message?>
<That pest ' s fatherhood ' s handphone. Then you come quicker.>,<That pest's father's handphone. Then you come faster.,That pest's father's handphone. Then you come faster.>
"<Oh? Like that? What kind of job you require? Waitress operating theater office, I assist you look out.>","<Oh? Like that? What kind of jobs you want? Waitress or office, I help you look out.","Oh? Like that? What kind of jobs you want? Waitress or office, I help you look out.>"
"<William tell Yun to watch out. Don ' deoxythymidine monophosphate think she change her handphone and her planetary house phone, she can keep off pine tree state. No way. I would camp at your place tomorrow. Open your eyes big and you would determine.>","<Tell Yun to watch out. Don't think she change her handphone and her house phone, she can avoid me. No way. I would camp at your place tomorrow. Open your eyes big and you would see.","Tell Yun to watch out. Don't think she change her handphone and her house phone, she can avoid me. No way. I would camp at your place tomorrow. Open your eyes big and you would see.>"
<Yes. It ' s over. My hall won i accolade.>,<Yes. It's over. My hall won one award.,Yes. It's over. My hall won one award.>
<Dinner party still on?>,<Dinner still on?,Dinner still on?>
<Exercise till what time? After exercise. Fatness.>,<Exercise till what time? After exercise. Fat.,Exercise till what time? After exercise. Fat.>
"<Haha, do you desire to lionise for pine tree state? Haha. 6 points, but the quizzer close eye.>","<Haha, do you want to celebrate for me? Haha. 6 points, but the tester close eye.","Haha, do you want to celebrate for me? Haha. 6 points, but the tester close eye.>"
<Yun! I just now substantiate I forgot to zip my pants! I ' ve been walking around like that since break of day. So sticky.>,<Yun! I just realised I forgot to zip my pants! I've been walking around like that since morning. So embarrassing.,Yun! I just realised I forgot to zip my pants! I've been walking around like that since morning. So embarrassing.>
